Movie,Aggregate-Rating
Jeff Dunham: All Over the Map,6.0
Jersey Shore Massacre,6.2
Jeruzalem,6.0
Jessabelle,5.4
Jim Jefferies: Bare,7.4
Jimmy's Hall,6.8
Jinn,6.5
John Doe: Vigilante,6.2
Joy Ride 3,7.9
Julia,7.4
Jurassic City,6.7
Just Before I Go,7.1
Kahlil Gibran's The Prophet,6.4
Kajaki,6.6
Kelly & Cal,7.4
Kid Cannabis,6.1
Kill Kapone,4.1
Kill Me Three Times,3.7
Kill the Messenger,4.0
Kingsman: The Secret Service,6.4
Kite,6.4
Krampus: The Reckoning,6.4
Krisha,6.9
Kristy,6.9
La Voie de l‘ennemi,7.6
Laggies,6.7
Lake Los Angeles,6.8
Lake Nowhere,7.1
Lake Placid vs. Anaconda,6.2
Land Ho!,7.1
Lap Dance,6.8
Last Cab to Darwin,6.9
Last Days in Vietnam,6.3
Last Flight,6.7
Last Girl Standing,6.1
Last Shift,6.1
Late Phases,6.5
Lava,6.7
Learning to Drive,6.7
Left Behind,6.9
Lemon Tree Passage,5.5
Leprechaun: Origins,5.9
Let Us Prey,6.4
Let's Be Cops,6.8
Let's Kill Ward's Wife,3.8
Life After Beth,6.6
Life Partners,7.0
Life on the Line,6.7
Lift Me Up,7.0
Listen Up Philip,6.6
Listening,7.1
Littekens,6.2
Little Pieces,7.1
Little White Lie,6.4
Live Nude Girls,6.4
Looking for Grace,8.2
Lost After Dark,4.9
Lost River,5.5
Lost Songs: The Basement Tapes Continued,3.9
Love & Mercy,9.2
Love Is Strange,8.3
Love Island,8.8
Love in the Time of Monsters,9.1
Lovesick,6.5
Lucent,6.1
Lucy,7.4
Lullaby,5.6
Luna,6.8
Lust for Love,9.0
Madame Bovary,6.3
Magic in the Moonlight,6.6
Maleficent,5.4
Mall,6.5
Man from Reno,6.3
Manglehorn,6.4
Manifesto,6.5
Mantervention,7.1
Marvel One-Shot: All Hail the King,4.9
Match,6.6
Matt Shepard Is a Friend of Mine,8.1
Mavis!,7.2
Maya the Bee Movie,6.8
Meet My Valentine,6.5
Meet the Patels,7.1
Mega Shark vs. Mecha Shark,6.2
Megachurch Murder,3.8
Mercenaries,6.4
Merchants of Doubt,5.1
Mercy,7.7
Mifune: The Last Samurai,7.6
Million Dollar Arm,7.0
Mischief Night,5.5
Misfire,6.3
Miss Julie,5.9
Miss Meadows,6.1
Mission Blue,6.9
Mitt,6.5
Mockingbird,6.1
Moms' Night Out,7.1
Monsters: Dark Continent,6.1
Montana,6.9
Mothers of the Bride,6.7
Mountain Men,7.1
Mourning Son,5.6
Mr. Peabody & Sherman,6.4
Mr. Turner,6.9
Mrs. Brown's Boys D'Movie,6.7
Muppets Most Wanted,8.0
Mutant World,6.4
My All American,7.1
My Little Pony: Equestria Girls - Rainbow Rocks,6.2
My Little Pony: Equestria Girls: Friendship Games,8.2
My Mistress,6.5
My Old Lady,7.4
Mythica: A Quest for Heroes,8.5
Nanny Cam,6.5
Narcopolis,6.3
National Gallery,6.3
Navy Seals vs. Zombies,5.9
Ned Rifle,6.4
Need for Speed,6.3
Neighbors,6.6
Night Eyes,6.6
Night Has Settled,7.0
Night Will Fall,7.8
Night at the Museum: Secret of the Tomb,6.2
Night of the Living Dead,4.0
Nightcrawler,6.4
Nightingale,6.2
Ninja Apocalypse,6.0
No Good Deed,7.4
Noah,6.8
Noble,8.0
Non-Stop,5.8
Northern Soul,7.0
Northmen: A Viking Saga,6.8
Not Cool,7.7
Not Safe for Work,8.8
Obvious Child,7.5
October 1,6.8
October Gale,7.5
Old Fashioned,7.2
Once I Was a Beehive,7.0
One Eyed Girl,9.0
One Minute Time Machine,5.5
One Night in Istanbul,7.1
Open Windows,6.4
Operation Rogue,6.1
Ophilia,6.5
Ouija,5.7
Outcast,5.0
PMS Cop,4.8
Paddington,6.8
Pali Road,6.3
Pantani: The Accidental Death of a Cyclist,3.5
Paper Planes,7.4
Paranormal Activity: The Marked Ones,6.0
Paranormal Island,6.0
Parts Per Billion,6.5
Patchwork,6.6
Pawn Sacrifice,7.2
Pay the Ghost,4.7
Peggy Guggenheim: Art Addict,7.1
Penguins of Madagascar,7.0
Perfect Sisters,7.8
Pernicious,6.5
Persecuted,5.2
Pervert Park,2.4
Phantom Halo,6.1
Pieces of Talent,7.7
Ping Pong Summer,6.8
Planes: Fire & Rescue,8.5
Plastic,6.2
Plastic Galaxy: The Story of Star Wars Toys,4.1
Playing It Cool,8.8
Poker Night,6.6
Pompeii,6.4
Posthumous,5.9
Power Rangers,6.6
Predestination,6.5
Preggoland,7.5
Prescription Thugs,7.5
Preservation,6.9
Pride,7.2
Print the Legend,6.2
Pro Wrestlers vs Zombies,6.7
Problemski Hotel,7.4
Project Almanac,6.6
Puerto Ricans in Paris,6.4
Puncture Wounds,6.1
Pursuit,7.6
Pyaar Vali Love Story,8.8
Queen & Country,6.7
Radiator,7.0
Rage,4.5
Raiders of the Lost Shark,5.0
Raised by Wolves,6.7
Rampage: Capital Punishment,3.1
Reach Me,7.4
Reclaim,7.9
Red Army,6.4
Red Knot,6.4
Red Sky,5.6
Regarding Susan Sontag,7.4
Remember,6.9
Revenge of the Green Dragons,4.4
Ride,8.4
Ride Along,7.5
Riot,4.4
River,5.4
Road,6.6
Road to Paloma,6.8
Robot Overlords,6.9
Rosewater,6.9
Rudderless,6.8
Runoff,6.2
Russell Madness,5.0
Sabotage,4.4
Saints and Soldiers: The Void,6.0
San Andreas Quake,6.1
Sand Castles,6.3
Santa Claws,6.4
Santa's Little Helper,7.7
Saving Christmas,7.8
Scarewaves,6.0
School Dance,6.3
Scintilla,6.6
Scooby-Doo! Frankencreepy,6.4
Seal Team Eight: Behind Enemy Lines,3.4
Search Party,7.9
Sector 4: Extraction,6.3
See No Evil 2,4.2
Seed 2: The New Breed,6.2
Selma,6.6
Serena,6.4
Seve,7.2
Seventh Son,6.3
Sex Ed,6.2
Sex Tape,6.3
Shark Killer,4.6
She's Funny That Way,8.3
Shelter,7.4
Sherpa,6.4
Shockwave Darkside,5.8
Showrunners: The Art of Running a TV Show,6.4
Sicilian Vampire,7.3
Sin City: A Dame to Kill For,2.8
Skin Trade,6.5
Sleeping Giant,6.9
Small Time,7.0
Sneezing Baby Panda: The Movie,6.6
Sniper: Legacy,6.6
Some Kind of Beautiful,9.4
Someone Marry Barry,7.0
Somm: Into the Bottle,7.1
Son of God,7.7
Son of a Gun,5.2
Song One,7.5
Song of the Sea,7.5
Space Station 76,6.7
Spring,6.7
Spud 3: Learning to Fly,7.3
St. Vincent,7.2
Stage Fright,5.0
Starry Eyes,6.2
Step Up All In,7.2
Steve Jobs: The Man in the Machine,6.5
Still Alice,6.6
Stolen from the Suburbs,4.5
Stomping Ground,5.9
Stonehearst Asylum,6.7
Stop at Nothing: The Lance Armstrong Story,5.2
Straight Outta Oakland,6.5
Stretch,6.7
Styria,7.3
Suburban Gothic,6.4
Such Good People,8.2
Sugar Coated,6.2
Sugar Daddies,6.4
Suite Française,6.4
Sun Belt Express,6.0
Super Duper Alice Cooper,8.5
Supremacy,6.4
Survivor,6.8
Swearnet: The Movie,6.4
Swelter,5.6
Swept Under,6.5
TEKKEN: A Man Called X,4.5
Take Care,8.6
Takedown: The DNA of GSP,7.0
Taken 3,6.4
Tales of the Grim Sleeper,4.0
Talk Back and You're Dead,4.3
Tammy,6.5
Tanna,7.4
Tapped Out,6.2
Teen Lust,5.1
Teenage Mutant Ninja Turtles,6.3
Tell,6.8
Testament of Youth,6.6
That Awkward Moment,6.4
The 10 Year Plan,6.7
The 414s,6.0
The Adventures of RoboRex,7.3
The Amazing Spider-Man 2,8.0
The Angriest Man in Brooklyn,4.2
The Anomaly,6.3
The Appearing,6.9
The Audition,8.0
The Babadook,4.9
The Bag Man,6.6
The Barber,7.0
The Beat Beneath My Feet,8.1
The Best of Me,8.6
The Better Angels,7.8
The Bigger Picture,7.0
The Boat Builder,6.4
The Book of Life,7.1
The Boxcar Children,6.5
The Brainwashing of My Dad,6.6
The Calling,5.8
The Canal,6.6
The Captive,6.2
The Case Against 8,6.0
The Clown,5.5
The Cobbler,6.1
The Coed and the Zombie Stoner,6.4
The Cut,5.7
The Dark Horse,6.6
The Device,6.1
The Devil's Bargain,5.0
The Disappearance of Eleanor Rigby: Them,6.4
The Dragons of Camelot,8.0
The Driftless Area,6.5
The Drop,5.9
The Duke of Burgundy,6.7
The Editor,7.5
The Endless River,6.0
The Equalizer,5.6
The Escort,6.7
The Expendables 3,6.3
The Face of an Angel,5.9
The Falling,6.6
The Fault in Our Stars,5.5
The Forger,6.9
The Forgotten,5.9
The Frame,5.7
The Funhouse Massacre,6.4
The Gambler,6.7
The Giver,7.5
The Goob,6.7
The Good Lie,8.3
The Grand Budapest Hotel,8.4
The Green Prince,6.5
The Grim Sleeper,4.6
The Guarantee,7.5
The Guest,7.3
The Gunfighter,6.5
The Guvnors,6.8
The Hacker Wars,4.0
The Haunting of Alice D,5.0
The Hero of Color City,8.4
The Heyday of the Insensitive Bastards,3.2
The History of Time Travel,6.9
The Hive,6.7
The Hobbit: The Battle of the Five Armies,5.0
The Homesman,6.7
The Hooligan Factory,4.6
The Houses October Built,5.6
The Humbling,6.9
The Hunger Games: Mockingjay - Part 1,5.1
The Hungover Games,6.3
The Identical,6.4
The Image Revolution,5.5
The Imitation Game,6.6
The Inbetweeners 2,6.6
The Infinite Man,7.2
The Internet's Own Boy: The Story of Aaron Swartz,5.9
The Interview,6.6
The Judge,5.1
The Keeping Room,6.5
The Last Five Years,6.7
The Last Light,4.6
The Last Saint,6.5
The Legend of Hercules,6.2
The Legend of Longwood,6.2
The Lego Movie,6.3
The Letters,4.5
The Little Death,4.8
The Living,6.0
The Loft,6.2
The Longest Week,7.0
The Lookalike,6.4
The Maze Runner,6.7
The Meddler,6.1
The Mentor,6.3
The Mind's Eye,6.6
The Mirror,6.0
The Monuments Men,6.5
The Mule,5.7
The Nostalgist,7.8
The November Man,6.5
The One I Love,8.8
The Ones Below,5.4
The Opposite Sex,7.4
The Other Side,6.7
The Other Woman,6.8
The Ouija Experiment 2: Theatre of Death,3.5
The Outsider,7.8
The Overnighters,6.3
The Pack,6.8
The Pact II,6.3
The Perfect Wave,8.4
The Possession of Michael King,5.4
The Preacher's Sin,4.5
The Present,6.5
The Prince,6.4
The Purge: Anarchy,6.3
The Pyramid,6.5
The Quiet Ones,5.2
The Quitter,6.4
The Reckoning,5.9
The Reconstruction of William Zero,6.5
The Redwood Massacre,7.1
The Remaining,6.5
The Retrieval,6.5
The Riot Club,4.3
The Rise and Rise of Bitcoin,6.6
The Road Within,7.3
The Rover,6.8
The Runner,6.9
The Scarehouse,5.5
The Scribbler,6.9
The Search for General Tso,7.0
The Sheik,6.9
The Signal,5.1
The Silent Storm,6.1
The Single Moms Club,6.5
The Skeleton Twins,7.0
The Sleeping Room,6.3
The Song,7.2
The Sound and the Fury,4.2
The Steps,6.9
The Stranger,7.2
The Suicide Theory,4.9
The Surface,6.5
The Taking of Deborah Logan,5.7
The Theory of Everything,7.1
The Town that Dreaded Sundown,4.3
The Trip to Italy,7.2
The Two Faces of January,6.9
The Unspoken,6.6
The Voices,7.2
The Water Diviner,7.9
The Wedding Pact,6.5
The Weight of Chains 2,8.5
The Well,7.2
The Witch,5.6
The Woods Within,5.2
The Yes Men Are Revolting,7.8
The Young Kieslowski,6.5
The iMom,6.0
There's Always Woodstock,7.5
They Came Together,6.9
This Is Where I Leave You,7.0
Thou Wast Mild and Lovely,8.3
Thought Crimes,5.8
Tig,7.3
Time Lapse,6.9
Time Out of Mind,7.1
Tinker Bell and the Pirate Fairy,6.3
Tiny Giants 3D,6.9
Tom Sawyer & Huckleberry Finn,6.2
Tom in America,6.8
Top Dog,7.5
Top Five,7.2
Trace,6.2
Tracers,6.7
Transcendence,6.5
Treehouse,5.9
Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles,6.0
Tusk,5.7
Two Night Stand,7.1
Unbroken,6.3
Unfriended,6.0
United Passions,7.4
Unknown Caller,6.6
V/H/S: Viral,6.4
Valley Uprising,6.8
Vampire Academy,7.0
Varsity Blood,6.0
Vendetta,6.2
Veronica Mars,6.7
Video Games: The Movie,6.8
Virunga,6.5
Waiting in the Wings: The Musical,9.0
Walk of Shame,5.4
Walking on Sunshine,8.4
War Book,5.0
Warren,7.3
Waste Land,4.8
We Are Blood,6.3
We Are Your Friends,8.5
We Still Kill the Old Way,3.2
We'll Never Have Paris,7.0
Welcome to Me,7.7
Welcome to New York,8.4
Wet Bum,6.5
What We Did on Our Holiday,8.3
What We Do in the Shadows,7.4
When the Game Stands Tall,7.4
Where Do We Go from Here?,5.8
Where Hope Grows,8.5
Where the Devil Hides,3.3
While We're Young,6.7
Whiplash,6.8
White Bird in a Blizzard,6.3
White Settlers,5.9
Who Took Johnny,5.9
Wicked Blood,4.3
Wild,6.1
Wild Horses,6.5
Wild in Blue,7.2
Wildlike,7.0
Wish I Was Here,8.1
WolfCop,6.1
Wolves,6.6
Women He's Undressed,6.4
Words with Gods,6.4
Wrecker,6.1
Wrong Turn 6: Last Resort,4.0
Wyrmwood: Road of the Dead,3.6
X Moor,5.4
X+Y,6.5
X-Men: Days of Future Past,6.6
You Are Not Alone,7.0
You Must Be Joking,7.2
You're Not You,6.7
You're Ugly Too,8.3
Young Ones,6.5
Zero Tolerance,7.1
Zombeavers,6.1
Zombieworld,5.4
Zoom,6.4
Zwischen Welten,6.0
#SCREAMERS,6.1
10 Cloverfield Lane,6.5
12 Rounds 3: Lockdown,7.2
13 Cameras,5.9
13th,5.9
3 Generations,6.8
45 Years,6.6
4th Man Out,7.6
808,6.5
90 Minutes in Heaven,8.2
93 Days,7.2
A Bigger Splash,6.4
A Boy Called Po,8.7
A Cure for Wellness,7.4
A Date with Miss Fortune,6.1
A Girl Like Her,7.7
A Hitman in London,7.3
A Rising Tide,5.0
A Royal Night Out,7.6
A Sort of Homecoming,6.2
A Street Cat Named Bob,7.8
A Sunday Horse,7.3
A Walk in the Woods,7.4
A Year and Change,7.0
ARQ,6.9
AWOL-72,4.7
Absolutely Anything,6.8
Absolution,7.1
Accidental Love,8.4
Advantageous,7.7
AfterDeath,6.4
Air,7.1
Akron,6.7
Ali Wong: Baby Cobra,6.0
Alistair1918,6.0
All Things Must Pass,7.8
Allied,6.5
Almost Adults,6.8
Almost Friends,8.4
Aloha,6.7
Alvin and the Chipmunks: The Road Chip,6.6
Always Watching: A Marble Hornets Story,6.5
Amanda Knox,5.4
American Anarchist,6.4
American Beach House,7.8
American Fable,6.2
American Honey,6.4
American Poltergeist,5.1
American Ultra,6.8
Amok,6.7
Anarchy Parlor,5.6
Anesthesia,6.5
Angel,6.2
Anguish,4.0
Anomalisa,7.0
Another Country,6.8
Another Forever,7.8
Ant-Man,6.0
Anti Matter,5.7
Anti-Social,5.1
Any Day,6.4
Area 51,6.2
Audacity,7.9
Avengers Grimm,6.6
Awaken,6.7
Away,6.6
Away with Me,6.8
B-Movie: Lust & Sound in West-Berlin 1979-1989,8.4
Backtrack,6.5
Bad Asses on the Bayou,4.1
Bad Roomies,4.8
Badge of Honor,8.2
Banking on Bitcoin,6.7
Barbershop: The Next Cut,5.9
Barbie: Star Light Adventure,7.6
Barely Lethal,6.9
Barry,7.1
Batkid Begins,6.5
Batman: Return of the Caped Crusaders,6.8
Batman: The Killing Joke,4.8
Battle For SkyArk,4.6
Be Somebody,6.4
Beasts of No Nation,7.0
Beauty Mark,8.5
Bedeviled,6.1
Before the Flood,6.8
Being Canadian,6.8
Believe,7.1
Below Her Mouth,6.3
Best of Enemies,7.8
Betting on Zero,6.2
Beyond the Gates,6.5
Beyond the Mask,7.1
Big Sky,7.1
Bikini Model Academy,6.2
Bilal: A New Breed of Hero,8.1
Bill,7.3
Bitcoin: The End of Money as We Know It,6.2
Bitter Lake,4.9
Bizarre,5.5
Black Mass,6.8
Blackhat,6.2
Bleeding Heart,6.5
Bling,6.7
Blood Father,6.3
Blood Feast,6.3
Blood Hunters,5.9
Bloodsucking Bastards,4.0
Blue Jay,7.0
Blue Mountain State: The Rise of Thadland,6.9
Blunt Force Trauma,4.7
Bo Burnham: Make Happy,8.7
Bone Tomahawk,5.7
Boo! A Madea Halloween,6.7
Born to Be Blue,7.2
Borrowed Time,7.0
Bound,7.0
Bound to Vengeance,6.0
Bowie: The Man Who Changed the World,6.0
Boy Bye,6.6
Boys in the Trees,5.9
Brahman Naman,6.6
Brain on Fire,6.3
Bravetown,7.0
Bridgend,5.6
Broke,5.8
Broken Horses,6.4
Broken Vows,6.2
Brooklyn,6.2
Brotherhood,6.9
Brothers of the Wind,6.7
Buddy Hutchins,6.2
Buddymoon,7.5
Burn Burn Burn,6.4
Burnt,6.8
Cameraperson,6.8
Camino,6.1
Captain America: Civil War,4.7
Captain Fantastic,8.6
Captive,6.5
Carol,6.8
Cartels,6.1
Cash Only,6.7
Catfight,6.3
Caught,7.0
Cell,5.9
Chain of Command,6.3
Chappie,6.6
Chicken,6.4
Child 44,6.6
Chloe and Theo,7.0
Christine,6.4
Chronesthesia,8.0
Chronic,6.5
Chubby Funny,8.6
Cinderella,7.7
Circle,7.0
Closet Monster,7.0
Club Life,7.2
Code of Honor,8.0
Collateral Beauty,8.7
Colossal,7.0
Command and Control,5.1
Competition,6.4
Concussion,6.2
Condemned,4.7
Containment,6.2
Convenience,6.6
Convergence,6.5
Cool Cat Saves the Kids,8.8
Cowboys vs. Dinosaurs,6.8
Creative Control,7.6
Creed,6.7
Crimson Peak,6.5
Curve,6.5
Daddy's Home,7.2
Daft Punk Unchained,7.0
Daniel Tosh: People Pleaser,7.6
Danny Collins,7.2
Dark Horse,7.2
Dark Moon Rising,5.8
Dark Places,6.6
Dark Summer,6.4
Darkest Day,5.5
Darkweb,6.5
David and Goliath,6.4
